timestamp,alert,classification,priority,protocol,src_ip,src_port,dst_ip,dst_port
02/14-00:00:22.000000,ICMP PING *NIX,Attempted Information Leak,2,TCP,16.144.66.137,8618,169.65.106.69,40541
02/14-00:00:23.000000,ICMP PING BSDtype,Misc activity,3,UDP,94.241.215.246,30636,167.157.90.3,64795
02/14-00:00:24.000000,SCAN nmap XMAS,Attempted Information Leak,2,TCP,121.253.147.192,25945,67.9.234.146,11309
02/14-00:00:25.000000,SCAN nmap XMAS,Misc activity,3,UDP,7.206.106.16,60200,243.211.7.253,48915
02/14-00:00:26.000000,ICMP PING *NIX,Misc activity,3,TCP,55.217.158.177,14812,164.182.214.7,61555
02/14-00:00:27.000000,ICMP PING,Misc activity,2,TCP,162.165.96.248,34069,211.16.127.155,58899
02/14-00:00:28.000000,SCAN nmap XMAS,Attempted Information Leak,3,UDP,236.72.137.243,41372,100.193.90.234,34261
02/14-00:00:29.000000,ICMP PING undefined code,Misc activity,3,UDP,94.194.60.73,58813,127.45.250.180,1751
02/14-00:00:30.000000,SNMP AgentX/tcp request,Attempted Information Leak,3,TCP,64.196.6.153,56187,179.85.22.205,6070
02/14-00:00:31.000000,SNMP AgentX/tcp request,Misc activity,3,UDP,142.173.111.66,31374,88.222.85.73,9086
02/14-00:00:32.000000,ICMP PING,Misc activity,2,UDP,99.62.41.217,52073,43.166.29.184,23296
02/14-00:00:33.000000,SCAN nmap XMAS,Misc activity,3,TCP,179.123.187.10,17932,172.136.128.203,47172
02/14-00:00:34.000000,ICMP PING undefined code,Attempted Information Leak,2,UDP,8.85.226.205,42753,162.57.69.160,44957
02/14-00:00:35.000000,SCAN nmap XMAS,Misc activity,2,TCP,149.10.51.241,43013,45.77.174.91,64463
02/14-00:00:36.000000,SNMP trap tcp,Misc activity,3,UDP,181.222.152.4,21505,130.124.250.59,20311
02/14-00:00:37.000000,ICMP PING BSDtype,Misc activity,2,TCP,122.222.227.253,1815,139.206.183.112,58697
02/14-00:00:38.000000,SCAN nmap XMAS,Attempted Information Leak,3,TCP,78.113.105.102,34487,248.168.229.100,28311
02/14-00:00:39.000000,ICMP PING,Misc activity,3,UDP,176.148.31.183,35593,109.20.27.114,60195
02/14-00:00:40.000000,ICMP PING,Attempted Information Leak,3,UDP,35.141.78.160,51991,38.237.85.55,31352
02/14-00:00:41.000000,ICMP PING,Attempted Information Leak,3,TCP,38.247.95.243,38305,223.3.201.184,59052
02/14-00:00:42.000000,ICMP PING,Misc activity,2,TCP,25.164.144.224,50043,19.74.154.206,58079
02/14-00:00:43.000000,ICMP PING,Misc activity,3,TCP,73.55.186.228,48270,34.180.96.14,12148
02/14-00:00:44.000000,SCAN nmap XMAS,Attempted Information Leak,3,UDP,10.25.21.107,21924,106.240.190.214,10238
02/14-00:00:45.000000,SNMP AgentX/tcp request,Attempted Information Leak,3,TCP,229.225.27.22,53030,133.127.7.243,56225
02/14-00:00:46.000000,SCAN nmap XMAS,Misc activity,3,TCP,37.118.152.189,52688,135.30.140.43,37014
02/14-00:00:47.000000,SCAN nmap XMAS,Misc activity,3,UDP,131.146.158.154,3985,19.85.58.88,20142
02/14-00:00:48.000000,ICMP PING,Attempted Information Leak,3,TCP,199.248.214.163,55050,72.238.191.77,33892
02/14-00:00:49.000000,SCAN nmap XMAS,Misc activity,2,TCP,175.181.157.152,62842,134.241.229.38,19702
02/14-00:00:50.000000,SNMP AgentX/tcp request,Attempted Information Leak,2,TCP,18.59.208.93,41622,203.145.148.10,42800
02/14-00:00:51.000000,ICMP PING,Attempted Information Leak,2,UDP,156.158.129.198,63558,206.82.91.78,54839
02/14-00:00:52.000000,SNMP AgentX/tcp request,Misc activity,2,ICMP,15.252.170.39,7037,196.170.92.225,18744
02/14-00:00:53.000000,ICMP PING,Misc activity,2,UDP,151.160.133.3,12672,172.251.161.45,34119
02/14-00:00:54.000000,SNMP request tcp,Attempted Information Leak,3,UDP,48.254.138.254,29177,65.171.7.155,10739
02/14-00:00:55.000000,ICMP PING BSDtype,Attempted Information Leak,3,TCP,189.174.38.188,58577,190.116.35.105,37806
02/14-00:00:56.000000,SCAN nmap XMAS,Attempted Information Leak,2,TCP,49.19.77.41,27501,7.84.130.210,27800
02/14-00:00:57.000000,ICMP PING undefined code,Misc activity,3,TCP,196.161.197.193,34540,89.235.202.78,2332
02/14-00:00:58.000000,SCAN nmap XMAS,Attempted Information Leak,3,TCP,212.48.207.76,7627,155.233.215.233,41404
02/14-00:00:59.000000,SNMP AgentX/tcp request,Attempted Information Leak,2,UDP,124.144.6.74,64750,233.223.185.15,19723
02/14-00:01:00.000000,ICMP PING,Attempted Information Leak,2,TCP,63.35.130.73,53668,99.123.95.235,3600
02/14-00:01:01.000000,ICMP PING undefined code,Misc activity,3,TCP,217.227.120.220,4498,97.164.202.29,57457
02/14-00:01:02.000000,ICMP PING,Misc activity,3,UDP,183.94.171.36,14412,75.84.85.12,23776
02/14-00:01:03.000000,SNMP request tcp,Attempted Information Leak,2,UDP,23.242.33.60,54799,30.233.178.42,57904
02/14-00:01:04.000000,ICMP PING undefined code,Attempted Information Leak,3,TCP,86.40.254.249,38590,185.183.96.122,28290
02/14-00:01:05.000000,ICMP PING undefined code,Misc activity,3,TCP,179.58.179.133,3917,128.140.81.119,27872
02/14-00:01:06.000000,ICMP PING BSDtype,Attempted Information Leak,2,UDP,60.248.37.191,27602,49.152.240.4,3196
02/14-00:01:07.000000,ICMP PING,Misc activity,3,TCP,66.88.14.35,19119,104.141.184.116,23104
02/14-00:01:08.000000,ICMP PING,Misc activity,2,TCP,113.156.176.173,30801,23.153.11.248,30255
02/14-00:01:09.000000,ICMP PING undefined code,Misc activity,3,TCP,139.124.83.135,26061,22.107.104.55,18398
02/14-00:01:10.000000,SCAN nmap XMAS,Attempted Information Leak,3,TCP,178.213.97.237,23264,74.56.176.208,32415
02/14-00:01:11.000000,SCAN nmap XMAS,Misc activity,2,TCP,204.6.96.68,2024,144.85.94.6,14187
02/14-00:01:12.000000,ICMP PING BSDtype,Misc activity,3,TCP,188.145.21.117,43111,119.18.189.188,25141
02/14-00:01:13.000000,ICMP PING,Misc activity,3,TCP,193.74.202.85,55329,253.162.1.55,48649
02/14-00:01:14.000000,ICMP PING undefined code,Attempted Information Leak,3,UDP,96.216.21.82,36883,45.228.23.86,31227
02/14-00:01:15.000000,SNMP AgentX/tcp request,Attempted Information Leak,2,TCP,148.53.91.98,45320,68.183.45.30,19234
02/14-00:01:16.000000,SCAN nmap XMAS,Misc activity,2,TCP,165.245.82.188,54169,62.175.13.111,29296
02/14-00:01:17.000000,SNMP trap tcp,Misc activity,3,TCP,229.147.82.244,48618,228.134.64.125,37033
02/14-00:01:18.000000,ICMP PING *NIX,Misc activity,3,TCP,48.17.122.128,2765,179.64.139.226,36521
02/14-00:01:19.000000,DDOS mstream client to handler,Attempted Information Leak,3,TCP,1.139.59.149,49473,216.241.109.98,61345
02/14-00:01:20.000000,SNMP trap tcp,Attempted Information Leak,3,UDP,25.150.23.223,11338,144.63.171.158,24276
02/14-00:01:21.000000,ICMP PING *NIX,Attempted Information Leak,2,UDP,110.83.52.253,20844,121.12.75.187,31892
02/14-00:01:22.000000,ICMP PING *NIX,Attempted Information Leak,3,ICMP,63.72.28.31,2802,135.62.12.60,21497
02/14-00:01:23.000000,ICMP PING,Misc activity,2,TCP,53.103.17.180,8351,208.102.139.33,24099
02/14-00:01:24.000000,SNMP request tcp,Misc activity,2,TCP,162.139.9.26,14012,49.246.78.1,56825
02/14-00:01:25.000000,ICMP PING undefined code,Misc activity,3,TCP,81.143.127.87,40314,217.129.64.125,2793
02/14-00:01:26.000000,ICMP PING,Attempted Information Leak,3,TCP,97.172.233.156,8687,206.119.223.24,45289
02/14-00:01:27.000000,ICMP PING,Misc activity,3,TCP,139.55.63.103,14071,47.120.194.236,46052
02/14-00:01:28.000000,ICMP PING undefined code,Attempted Information Leak,2,TCP,162.158.225.77,46430,178.11.168.157,38629
02/14-00:01:29.000000,ICMP PING,Misc activity,3,TCP,251.20.233.95,35067,161.112.26.173,31914
02/14-00:01:30.000000,ICMP PING,Misc activity,3,TCP,143.92.76.213,16815,85.2.67.68,48805
02/14-00:01:31.000000,SNMP request tcp,Attempted Information Leak,3,TCP,88.187.176.103,35021,129.143.158.75,39012
02/14-00:01:32.000000,ICMP PING,Misc activity,3,TCP,123.59.198.141,62148,32.33.21.75,35982
02/14-00:01:33.000000,ICMP PING *NIX,Attempted Information Leak,3,TCP,103.35.194.245,40977,68.105.197.148,49301
02/14-00:01:34.000000,SCAN nmap XMAS,Attempted Information Leak,3,UDP,148.115.94.48,56975,11.178.28.5,65146
02/14-00:01:35.000000,SCAN nmap XMAS,Attempted Information Leak,2,TCP,32.220.142.133,7299,130.173.85.174,4109
02/14-00:01:36.000000,SNMP request tcp,Attempted Information Leak,3,TCP,141.121.175.212,39103,139.213.106.113,4485
02/14-00:01:37.000000,SNMP AgentX/tcp request,Misc activity,2,UDP,184.182.75.2,46586,11.208.170.108,47970
02/14-00:01:38.000000,SNMP AgentX/tcp request,Attempted Information Leak,3,TCP,8.41.70.171,9865,14.227.218.254,34104
02/14-00:01:39.000000,ICMP PING *NIX,Misc activity,3,ICMP,100.27.177.206,61361,49.155.160.190,53609
02/14-00:01:40.000000,ICMP PING undefined code,Misc activity,3,TCP,242.69.246.10,57477,56.12.111.96,50571
02/14-00:01:41.000000,SNMP AgentX/tcp request,Attempted Information Leak,3,TCP,39.64.16.1,24659,234.73.23.97,24994
02/14-00:01:42.000000,ICMP PING BSDtype,Misc activity,2,TCP,107.41.88.211,47973,108.33.48.76,9997
02/14-00:01:43.000000,ICMP PING,Misc activity,2,TCP,137.183.75.185,23469,238.192.202.138,34452
02/14-00:01:44.000000,ICMP PING undefined code,Misc activity,2,TCP,248.94.156.147,44386,57.229.234.24,8526
02/14-00:01:45.000000,ICMP PING undefined code,Misc activity,3,TCP,20.240.180.122,4088,201.190.37.151,28969
02/14-00:01:46.000000,ICMP PING undefined code,Attempted Information Leak,3,TCP,216.133.167.86,15527,145.20.229.59,26107
02/14-00:01:47.000000,ICMP PING,Attempted Information Leak,3,UDP,201.228.63.161,15547,251.148.186.44,16372
02/14-00:01:48.000000,SNMP AgentX/tcp request,Misc activity,2,UDP,158.125.177.145,38452,242.130.217.59,41940
02/14-00:01:49.000000,ICMP PING,Attempted Information Leak,3,TCP,158.94.195.210,52410,8.95.171.179,3899
02/14-00:01:50.000000,ICMP PING undefined code,Misc activity,3,TCP,106.120.221.142,21991,212.183.145.54,52520
02/14-00:01:51.000000,ICMP PING,Attempted Information Leak,2,TCP,33.207.18.203,55800,119.246.122.135,8036
02/14-00:01:52.000000,SCAN nmap XMAS,Misc activity,3,TCP,81.168.198.104,48739,106.120.229.226,42790
02/14-00:01:53.000000,SCAN nmap XMAS,Attempted Information Leak,3,ICMP,233.52.47.163,36691,231.180.201.152,36202
02/14-00:01:54.000000,ICMP PING undefined code,Attempted Information Leak,3,UDP,4.180.219.80,20378,227.63.96.134,20549
02/14-00:01:55.000000,SNMP request tcp,Misc activity,2,TCP,235.55.96.83,43234,36.157.8.220,54664
02/14-00:01:56.000000,ICMP PING,Attempted Information Leak,3,TCP,163.100.88.130,6752,120.31.103.40,59583
02/14-00:01:57.000000,ICMP PING undefined code,Attempted Information Leak,2,UDP,43.80.150.172,36992,167.174.159.66,109
02/14-00:01:58.000000,SCAN nmap XMAS,Attempted Information Leak,3,UDP,40.151.104.195,1422,240.119.220.173,36464
02/14-00:01:59.000000,SCAN nmap XMAS,Attempted Information Leak,2,TCP,207.158.49.208,25565,235.227.198.28,49019
02/14-00:02:00.000000,SCAN nmap XMAS,Attempted Information Leak,3,ICMP,123.213.248.223,32298,98.136.20.45,45313
02/14-00:02:01.000000,SNMP AgentX/tcp request,Attempted Information Leak,3,TCP,4.226.6.32,29031,168.84.21.159,10816
02/14-00:02:02.000000,ICMP PING undefined code,Misc activity,3,TCP,142.67.230.253,40515,191.78.165.221,44886
02/14-00:02:03.000000,ICMP PING,Attempted Information Leak,2,UDP,2.251.221.174,43312,214.136.236.4,2785
02/14-00:02:04.000000,SNMP trap tcp,Misc activity,3,UDP,101.69.161.40,56105,205.139.113.165,30778
02/14-00:02:05.000000,SNMP request tcp,Attempted Information Leak,3,TCP,136.251.136.141,47005,105.95.96.32,62057
02/14-00:02:06.000000,ICMP PING undefined code,Attempted Information Leak,3,UDP,110.193.64.81,2988,152.138.223.85,10509
02/14-00:02:07.000000,ICMP PING,Misc activity,3,ICMP,1.86.120.67,42471,137.34.82.173,1525
02/14-00:02:08.000000,ICMP PING,Misc activity,3,TCP,50.248.233.167,6348,86.138.126.135,3109
02/14-00:02:09.000000,ICMP PING,Attempted Information Leak,3,UDP,5.190.202.173,36548,102.186.123.49,41028
02/14-00:02:10.000000,SNMP AgentX/tcp request,Misc activity,3,TCP,98.68.70.5,58595,169.64.135.95,12641
02/14-00:02:11.000000,SNMP trap tcp,Misc activity,2,UDP,100.58.134.48,22899,91.31.197.77,51504
02/14-00:02:12.000000,SNMP trap tcp,Attempted Information Leak,3,TCP,32.243.149.33,43794,133.250.105.165,35219
02/14-00:02:13.000000,SCAN nmap XMAS,Misc activity,2,UDP,193.152.54.83,21382,11.0.67.190,30822
02/14-00:02:14.000000,SCAN nmap XMAS,Misc activity,3,TCP,51.106.197.82,17769,157.109.79.174,30128
02/14-00:02:15.000000,SCAN nmap XMAS,Misc activity,3,TCP,31.60.246.158,8244,227.142.33.140,51766
02/14-00:02:16.000000,ICMP PING undefined code,Attempted Information Leak,3,UDP,238.163.252.142,1779,213.202.130.61,28977
02/14-00:02:17.000000,ICMP PING,Attempted Information Leak,2,TCP,138.222.36.218,38639,238.109.191.2,100
02/14-00:02:18.000000,ICMP PING,Misc activity,3,TCP,7.166.50.12,9736,26.189.118.144,30881
02/14-00:02:19.000000,SNMP trap tcp,Misc activity,3,TCP,182.103.117.143,19519,148.109.159.236,29612
02/14-00:02:20.000000,ICMP PING,Attempted Information Leak,3,TCP,113.164.10.205,56026,175.35.192.150,54569
02/14-00:02:21.000000,ICMP PING,Attempted Information Leak,3,TCP,197.108.186.235,34872,235.43.186.107,62407
02/14-00:02:22.000000,ICMP PING undefined code,Attempted Information Leak,3,UDP,66.172.218.28,37950,16.139.174.207,23952
02/14-00:02:23.000000,SCAN nmap XMAS,Misc activity,3,TCP,45.203.237.149,57380,157.89.159.72,57531
02/14-00:02:24.000000,ICMP PING undefined code,Misc activity,3,UDP,7.43.1.195,16895,89.19.43.13,63836
02/14-00:02:25.000000,ICMP PING undefined code,Misc activity,3,ICMP,141.17.41.103,3434,33.199.215.5,2153
02/14-00:02:26.000000,ICMP PING BSDtype,Misc activity,3,UDP,175.213.158.183,47172,41.8.120.135,58037
02/14-00:02:27.000000,ICMP PING,Misc activity,3,TCP,98.156.84.172,34773,108.237.174.198,60720
02/14-00:02:28.000000,SCAN nmap XMAS,Misc activity,2,TCP,111.204.126.162,59497,210.51.78.238,21120
02/14-00:02:29.000000,ICMP PING undefined code,Misc activity,2,TCP,53.134.104.245,20432,75.187.182.192,10370
02/14-00:02:30.000000,ICMP PING undefined code,Misc activity,2,TCP,47.249.26.32,32753,214.206.156.41,44853
02/14-00:02:31.000000,ICMP PING undefined code,Misc activity,3,TCP,192.69.144.151,16111,33.224.76.84,62987
02/14-00:02:32.000000,SCAN nmap XMAS,Misc activity,3,UDP,79.90.109.87,55937,179.253.131.234,32079
02/14-00:02:33.000000,ICMP PING undefined code,Misc activity,3,TCP,32.160.98.107,4520,123.202.237.182,17776
02/14-00:02:34.000000,SCAN nmap XMAS,Attempted Information Leak,2,TCP,44.138.161.96,32742,148.186.107.102,45516
02/14-00:02:35.000000,SCAN nmap XMAS,Attempted Information Leak,3,TCP,214.246.27.108,21782,253.125.173.112,62585
02/14-00:02:36.000000,ICMP PING,Misc activity,3,ICMP,200.172.173.72,62513,220.8.129.229,57874
02/14-00:02:37.000000,ICMP PING BSDtype,Misc activity,2,TCP,14.183.167.133,49997,141.5.38.84,1863
02/14-00:02:38.000000,ICMP PING *NIX,Attempted Information Leak,3,UDP,81.23.175.253,16461,206.29.223.245,64459
02/14-00:02:39.000000,SCAN nmap XMAS,Attempted Information Leak,2,UDP,228.18.230.127,14570,202.99.105.154,22839
02/14-00:02:40.000000,SNMP trap tcp,Attempted Information Leak,3,TCP,29.80.16.152,41943,58.230.139.79,6381
02/14-00:02:41.000000,ICMP PING,Misc activity,2,TCP,16.115.46.78,56106,240.4.28.203,55575
02/14-00:02:42.000000,SNMP trap tcp,Attempted Information Leak,2,TCP,199.170.239.30,30703,22.47.129.176,50844
02/14-00:02:43.000000,SNMP trap tcp,Misc activity,2,TCP,207.211.210.137,17366,134.127.247.123,25204
02/14-00:02:44.000000,SNMP trap tcp,Misc activity,2,TCP,19.193.76.181,9199,87.68.57.69,7143
02/14-00:02:45.000000,SCAN nmap XMAS,Attempted Information Leak,3,UDP,208.208.14.38,14013,209.83.244.110,34509
02/14-00:02:46.000000,ICMP PING undefined code,Misc activity,3,UDP,94.79.22.9,53280,41.213.90.210,4697
02/14-00:02:47.000000,SCAN nmap XMAS,Misc activity,3,TCP,8.207.244.2,47139,241.113.184.76,19452
02/14-00:02:48.000000,ICMP PING,Attempted Information Leak,3,UDP,250.57.150.109,31257,18.62.212.152,35373
02/14-00:02:49.000000,ICMP PING undefined code,Misc activity,3,TCP,162.225.178.181,23319,146.119.40.130,64273
02/14-00:02:50.000000,ICMP PING,Misc activity,3,UDP,123.121.237.151,62415,105.252.8.124,32648
02/14-00:02:51.000000,SCAN nmap XMAS,Attempted Information Leak,3,UDP,211.43.31.26,7669,213.251.165.45,49279
02/14-00:02:52.000000,ICMP PING,Misc activity,3,TCP,204.170.53.68,9974,27.153.244.74,60261
02/14-00:02:53.000000,SNMP trap tcp,Misc activity,3,UDP,249.79.87.179,61446,242.191.172.222,43768
02/14-00:02:54.000000,ICMP PING,Attempted Information Leak,2,UDP,217.102.72.63,26151,35.50.51.47,51368
02/14-00:02:55.000000,ICMP PING undefined code,Misc activity,3,TCP,130.0.192.153,23507,196.26.237.88,5050
02/14-00:02:56.000000,ICMP PING,Misc activity,3,TCP,3.198.176.220,64603,211.146.131.229,54953
02/14-00:02:57.000000,ICMP PING,Misc activity,3,TCP,188.190.229.216,20541,240.251.28.100,53710
02/14-00:02:58.000000,SNMP request tcp,Attempted Information Leak,3,UDP,184.84.164.90,9145,60.35.134.216,46929
02/14-00:02:59.000000,ICMP PING undefined code,Attempted Information Leak,3,TCP,249.167.134.15,15985,155.205.18.70,6175
02/14-00:03:00.000000,SCAN nmap XMAS,Misc activity,2,TCP,56.189.167.65,13689,215.160.99.30,32576
02/14-00:03:01.000000,ICMP PING,Misc activity,3,UDP,192.47.232.226,9693,28.235.108.196,3027
02/14-00:03:02.000000,ICMP PING,Misc activity,3,UDP,187.159.232.163,33254,173.123.133.17,46441
02/14-00:03:03.000000,ICMP PING,Misc activity,2,TCP,153.214.55.170,25052,79.112.80.232,2514
02/14-00:03:04.000000,ICMP PING,Misc activity,3,UDP,135.38.241.203,9427,54.126.199.124,34779
02/14-00:03:05.000000,SNMP AgentX/tcp request,Attempted Information Leak,3,UDP,242.52.14.119,38933,240.20.98.229,47863
02/14-00:03:06.000000,ICMP PING,Misc activity,2,TCP,101.18.119.222,59024,223.115.36.16,23421
02/14-00:03:07.000000,ICMP PING,Misc activity,2,TCP,101.138.235.228,6575,100.73.122.5,19138
02/14-00:03:08.000000,ICMP PING,Misc activity,3,UDP,85.109.105.100,49177,73.15.169.145,63186
02/14-00:03:09.000000,SNMP trap tcp,Attempted Information Leak,3,TCP,33.93.25.68,61909,220.235.153.100,15131
02/14-00:03:10.000000,ICMP PING *NIX,Misc activity,3,TCP,46.90.126.56,2006,38.200.68.76,53217
02/14-00:03:11.000000,SNMP AgentX/tcp request,Attempted Information Leak,2,TCP,115.89.99.21,21303,177.170.25.96,21971
02/14-00:03:12.000000,SNMP trap tcp,Misc activity,2,UDP,240.169.254.83,51705,97.89.48.109,46339
02/14-00:03:13.000000,ICMP PING,Misc activity,3,TCP,84.179.30.245,10791,117.93.27.171,8537
02/14-00:03:14.000000,ICMP PING,Misc activity,3,TCP,204.179.74.242,35220,213.106.8.116,34190
02/14-00:03:15.000000,SCAN nmap XMAS,Attempted Information Leak,3,TCP,142.209.176.38,55943,5.119.248.254,19492
02/14-00:03:16.000000,SNMP request tcp,Misc activity,2,UDP,250.77.160.159,2221,105.206.239.191,26023
02/14-00:03:17.000000,ICMP PING *NIX,Misc activity,3,UDP,55.41.138.218,62097,130.93.119.2,48696
02/14-00:03:18.000000,ICMP PING undefined code,Misc activity,3,UDP,108.62.245.170,12949,120.181.101.215,35041
02/14-00:03:19.000000,ICMP PING,Attempted Information Leak,2,TCP,34.152.9.251,45582,208.10.158.252,43277
02/14-00:03:20.000000,ICMP PING,Misc activity,3,TCP,42.185.193.97,18342,181.135.38.17,34559
02/14-00:03:21.000000,SCAN nmap XMAS,Attempted Information Leak,2,UDP,92.122.242.168,26502,181.48.103.2,10927
02/14-00:03:22.000000,ICMP PING undefined code,Misc activity,3,UDP,186.97.60.184,44315,62.68.50.107,46486
02/14-00:03:23.000000,ICMP PING undefined code,Misc activity,3,ICMP,133.222.192.170,49944,79.165.208.58,52421
02/14-00:03:24.000000,ICMP PING BSDtype,Attempted Information Leak,3,ICMP,254.23.226.66,27857,78.18.221.61,13919
02/14-00:03:25.000000,SNMP trap tcp,Attempted Information Leak,3,TCP,199.101.0.68,23751,160.186.240.61,18235
02/14-00:03:26.000000,SNMP trap tcp,Misc activity,2,TCP,166.175.6.237,60996,78.147.123.153,26914
02/14-00:03:27.000000,SNMP request tcp,Misc activity,2,TCP,38.247.213.246,26215,226.228.155.84,17373
02/14-00:03:28.000000,SNMP AgentX/tcp request,Misc activity,3,TCP,193.114.210.136,63525,231.99.182.171,32320
02/14-00:03:29.000000,ICMP PING *NIX,Misc activity,3,UDP,192.29.12.81,37085,83.116.140.149,54128
02/14-00:03:30.000000,SNMP AgentX/tcp request,Attempted Information Leak,2,TCP,221.237.217.76,11475,128.173.211.50,28461
02/14-00:03:31.000000,SCAN nmap XMAS,Attempted Information Leak,3,UDP,244.221.121.80,19598,184.97.136.34,16399
02/14-00:03:32.000000,SNMP trap tcp,Misc activity,2,UDP,127.125.139.34,33695,9.246.156.20,38564
02/14-00:03:33.000000,ICMP PING,Misc activity,2,TCP,243.215.94.156,44132,243.116.0.52,4344
02/14-00:03:34.000000,ICMP PING,Misc activity,3,TCP,170.37.198.171,37470,166.94.239.32,39505
02/14-00:03:35.000000,ICMP PING *NIX,Attempted Information Leak,3,UDP,84.119.122.219,33421,59.59.243.80,50853
02/14-00:03:36.000000,SCAN nmap XMAS,Misc activity,3,TCP,224.158.233.222,16677,192.193.147.206,10943
02/14-00:03:37.000000,ICMP PING *NIX,Misc activity,2,TCP,24.181.101.126,26658,103.4.17.41,4399
02/14-00:03:38.000000,ICMP PING undefined code,Misc activity,3,UDP,135.188.83.165,44592,70.138.125.87,10962
02/14-00:03:39.000000,ICMP PING BSDtype,Attempted Information Leak,3,TCP,88.67.138.163,39435,176.16.20.94,10923
02/14-00:03:40.000000,ICMP PING undefined code,Attempted Information Leak,3,UDP,142.51.54.8,48741,186.188.15.243,30160
02/14-00:03:41.000000,ICMP PING undefined code,Misc activity,2,TCP,200.19.83.66,48250,72.194.47.115,39756
02/14-00:03:42.000000,SCAN nmap XMAS,Attempted Information Leak,3,UDP,192.101.75.130,18374,169.150.151.141,38962
02/14-00:03:43.000000,ICMP PING,Attempted Information Leak,3,TCP,166.202.224.66,57979,28.249.95.18,20864
02/14-00:03:44.000000,ICMP PING,Attempted Information Leak,3,TCP,218.215.97.132,8157,251.62.40.164,28011
02/14-00:03:45.000000,ICMP PING undefined code,Misc activity,3,TCP,114.166.120.252,59168,178.132.238.165,23308
02/14-00:03:46.000000,ICMP PING,Misc activity,3,TCP,122.122.181.166,26665,190.145.138.221,38314
02/14-00:03:47.000000,ICMP PING undefined code,Misc activity,2,TCP,215.0.26.232,23165,165.101.148.213,8431
02/14-00:03:48.000000,ICMP PING,Misc activity,2,TCP,159.98.28.49,27552,33.175.177.131,4392
02/14-00:03:49.000000,SNMP request tcp,Misc activity,3,TCP,14.240.95.171,31426,243.24.8.168,62773
02/14-00:03:50.000000,ICMP PING undefined code,Attempted Information Leak,3,TCP,71.162.88.212,6673,61.116.208.116,14751
02/14-00:03:51.000000,SNMP trap tcp,Misc activity,2,UDP,5.72.41.117,42203,249.85.196.9,17914
02/14-00:03:52.000000,ICMP PING undefined code,Attempted Information Leak,2,TCP,157.138.246.229,53076,108.245.79.97,30866
02/14-00:03:53.000000,ICMP PING *NIX,Attempted Information Leak,3,TCP,75.19.181.107,47314,147.32.177.113,60355
02/14-00:03:54.000000,ICMP PING undefined code,Attempted Information Leak,3,TCP,49.166.53.97,65141,133.47.0.49,23618
02/14-00:03:55.000000,ICMP PING,Misc activity,3,TCP,121.153.85.88,58988,115.11.103.174,15327
